State,district number,Retired,disabled
PA,5,"97,602","16,821"
PA,6,"105,784","14,361"
PA,7,"120,912","21,368"
PA,8,"123,091","26,777"
PA,9,"130,150","23,398"
PA,10,"119,388","19,973"
PA,11,"123,608","17,891"
PA,12,"123,471","20,637"
PA,13,"132,681","23,224"
PA,14,"133,648","22,989"
PA,15,"129,892","25,006"
PA,16,"124,619","24,213"
PA,17,"126,928","17,571"
PA,18,"108,245","19,694"
RI,1,"80,052","16,891"
RI,2,"87,477","16,644"
SC,1,"136,550","15,414"
SC,2,"114,745","18,624"
SC,3,"127,412","26,762"
SC,4,"117,037","22,208"
SC,5,"123,229","24,506"
SC,6,"101,272","24,768"
SC,7,"163,567","29,332"
SD,1,"146,407","17,723"
TN,1,"138,184","35,249"
TN,2,"128,435","23,619"
TN,3,"126,001","27,539"
TN,4,"118,758","25,644"
TN,5,"86,308","15,614"
TN,6,"139,068","26,837"
TN,7,"113,933","24,340"
TN,8,"117,337","22,342"
TN,9,"76,636","21,331"
TX,1,"108,746","20,621"
TX,2,"79,527","9,238"
TX,3,"84,807","7,822"
TX,4,"117,519","22,406"
TX,5,"93,967","17,888"
TX,6,"86,986","14,160"
TX,7,"71,200","6,355"
TX,8,"108,962","15,181"
TX,9,"66,853","12,006"
TX,10,"96,462","11,991"
TX,11,"107,014","15,605"
TX,12,"95,818","14,348"
TX,13,"95,411","16,596"
TX,14,"94,167","16,515"
TX,15,"76,162","14,012"
TX,16,"80,817","14,793"
TX,17,"86,775","15,624"
TX,18,"63,598","15,162"
TX,19,"87,945","15,324"
TX,20,"79,065","17,577"
TX,21,"122,893","12,194"
TX,22,"88,751","9,147"
TX,23,"91,583","16,613"
TX,24,"75,216","7,592"
TX,25,"106,786","14,828"
TX,26,"87,144","9,837"
TX,27,"100,460","18,022"
TX,28,"80,101","15,193"
TX,29,"51,943","10,106"
TX,30,"71,661","17,913"
TX,31,"101,634","17,260"
TX,32,"79,735","8,836"
TX,33,"54,380","12,486"
TX,34,"82,425","14,711"
TX,35,"73,384","18,216"
TX,36,"99,648","17,349"
UT,1,"77,182","11,741"
UT,2,"97,084","12,685"
UT,3,"72,730","8,371"
UT,4,"72,648","10,984"
VT,1,"116,636","20,214"
VA,1,"117,368","14,352"
VA,2,"102,310","14,131"
VA,3,"96,615","21,840"
VA,4,"107,639","22,084"
VA,5,"139,165","24,189"
VA,6,"131,055","23,388"
VA,7,"121,323","15,517"
VA,8,"67,883","5,714"
VA,9,"127,149","38,295"
VA,10,"90,424","7,255"
VA,11,"73,883","6,169"
WA,1,"97,485","10,312"
WA,2,"115,182","14,482"
WA,3,"126,277","19,594"
WA,4,"98,198","17,009"
WA,5,"120,268","21,815"
WA,6,"138,766","18,654"
WA,7,"88,093","8,988"
WA,8,"97,652","12,501"
WA,9,"81,029","9,841"
WA,10,"105,604","18,152"
WV,1,"101,329","20,518"
WV,2,"106,692","25,008"
WV,3,"94,141","32,076"
WI,1,"119,530","18,711"
WI,2,"112,746","15,347"
WI,3,"128,251","19,472"
WI,4,"73,724","21,039"
WI,5,"127,156","14,874"
WI,6,"133,540","18,854"
WI,7,"151,571","21,304"
WI,8,"129,757","18,360"
WY,1,"91,386","12,878"
